income,credit_score,debt_to_income,age,existing_loans,employment,home_ownership,purpose,region,approved
62144.57,662.0,0.367,32.0,2,full_time,rent,auto,APAC,1
46358.23,792.0,0.299,31.0,3,full_time,mortgage,business,NA,1
34855.71,716.0,0.232,37.0,0,full_time,mortgage,auto,NA,1
,631.0,0.452,33.0,2,full_time,mortgage,business,NA,1
64031.91,642.0,0.362,19.0,0,part_time,own,vacation,NA,1
96822.74,651.0,0.198,51.0,1,unemployed,own,business,NA,1
67344.94,715.0,0.297,36.0,0,full_time,rent,vacation,NA,1
82689.31,784.0,0.111,31.0,1,full_time,own,education,NA,1
56012.68,764.0,0.324,27.0,1,self_employed,rent,medical,NA,1
43671.01,722.0,0.296,46.0,2,part_time,mortgage,medical,LATAM,1
47627.9,597.0,0.251,25.0,1,unemployed,own,auto,EU,1
51945.93,597.0,0.51,39.0,0,part_time,mortgage,vacation,NA,1
103312.46,727.0,0.181,32.0,2,part_time,mortgage,medical,NA,1
50215.04,596.0,0.405,33.0,1,full_time,rent,debt_consolidation,APAC,1
80092.81,674.0,0.582,27.0,0,full_time,rent,home_improvement,APAC,1
48747.31,711.0,0.449,32.0,0,part_time,mortgage,medical,NA,1
81768.31,610.0,0.316,38.0,2,full_time,own,vacation,NA,1
71929.12,618.0,0.184,40.0,0,self_employed,rent,home_improvement,EU,1
62180.52,683.0,0.157,30.0,0,unemployed,mortgage,vacation,NA,1
64266.27,725.0,0.271,37.0,1,full_time,mortgage,education,NA,1
53213.82,764.0,0.238,47.0,0,full_time,mortgage,business,NA,1
73029.3,732.0,0.234,21.0,0,self_employed,rent,auto,APAC,1
56810.3,695.0,0.281,38.0,1,self_employed,mortgage,auto,NA,1
42939.1,638.0,0.308,28.0,1,self_employed,rent,medical,NA,1
41997.12,615.0,0.378,27.0,1,part_time,mortgage,home_improvement,NA,1
68106.58,654.0,0.171,41.0,1,unemployed,mortgage,debt_consolidation,EU,1
93423.64,719.0,0.238,33.0,0,full_time,rent,medical,EU,1
67879.85,714.0,0.301,26.0,1,full_time,mortgage,home_improvement,EU,1
62864.51,543.0,0.297,51.0,1,full_time,own,debt_consolidation,EU,1
70144.87,635.0,0.54,47.0,0,full_time,own,debt_consolidation,NA,1
88508.03,774.0,0.348,19.0,1,self_employed,rent,debt_consolidation,NA,1
68948.89,696.0,0.126,23.0,0,full_time,mortgage,medical,LATAM,1
57603.31,591.0,0.37,44.0,1,part_time,mortgage,home_improvement,APAC,1
84913.2,850.0,0.385,35.0,1,full_time,own,vacation,NA,1
72717.62,688.0,0.305,53.0,2,part_time,own,business,EU,1
92643.61,717.0,0.174,44.0,1,full_time,mortgage,auto,NA,1
68298.22,718.0,0.531,41.0,1,full_time,mortgage,education,NA,1
42959.56,664.0,0.192,28.0,4,full_time,mortgage,home_improvement,NA,1
40373.13,639.0,0.399,43.0,2,full_time,mortgage,home_improvement,APAC,1
94716.7,839.0,0.344,25.0,1,full_time,rent,medical,LATAM,1
96025.98,760.0,0.392,51.0,1,part_time,rent,home_improvement,EU,1
61768.65,748.0,0.525,42.0,2,full_time,rent,education,APAC,1
58102.63,730.0,0.387,30.0,0,unemployed,mortgage,home_improvement,NA,1
91306.0,620.0,0.253,46.0,1,self_employed,own,debt_consolidation,LATAM,1
45073.18,779.0,0.453,60.0,1,full_time,rent,medical,NA,1
48894.91,631.0,0.244,36.0,1,full_time,own,medical,LATAM,1
76579.88,710.0,0.34,44.0,1,full_time,rent,auto,NA,1
57897.11,575.0,0.165,34.0,3,full_time,mortgage,vacation,NA,1
64907.81,547.0,0.196,39.0,0,full_time,mortgage,medical,EU,1
,712.0,0.326,23.0,2,self_employed,rent,home_improvement,NA,1
71076.34,633.0,0.364,38.0,1,self_employed,mortgage,auto,NA,1
90334.67,551.0,0.116,38.0,0,full_time,own,education,EU,1
66630.53,728.0,0.38,56.0,3,part_time,rent,medical,APAC,1
76590.9,838.0,0.222,20.0,1,self_employed,mortgage,auto,NA,1
28096.9,787.0,0.474,35.0,1,full_time,mortgage,debt_consolidation,EU,1
64123.07,672.0,0.278,51.0,1,self_employed,mortgage,vacation,EU,1
49821.86,691.0,0.185,36.0,2,unemployed,mortgage,auto,NA,1
43061.36,752.0,0.329,36.0,0,unemployed,mortgage,business,NA,1
49193.26,769.0,0.21,30.0,1,part_time,rent,home_improvement,EU,1
58985.78,666.0,0.472,29.0,0,full_time,rent,education,APAC,1
81486.25,692.0,0.32,20.0,0,full_time,mortgage,business,NA,1
41124.93,711.0,0.302,32.0,1,unemployed,rent,vacation,EU,1
65551.37,729.0,0.391,28.0,1,full_time,rent,medical,EU,1
56284.95,681.0,0.199,39.0,0,full_time,own,home_improvement,APAC,1
,682.0,0.165,30.0,1,full_time,mortgage,auto,APAC,1
83049.64,787.0,0.369,33.0,1,full_time,own,business,EU,1
74686.08,775.0,0.188,33.0,0,full_time,mortgage,medical,NA,1
89073.17,723.0,0.188,38.0,0,self_employed,rent,business,APAC,1
62218.9,810.0,0.42,33.0,1,full_time,rent,vacation,EU,1
52473.03,663.0,0.383,27.0,0,full_time,rent,business,EU,1
60970.54,804.0,0.17,39.0,0,full_time,mortgage,education,EU,1
69364.94,728.0,0.246,49.0,1,full_time,own,medical,NA,1
68178.32,850.0,0.212,39.0,2,self_employed,own,medical,NA,1
45481.01,607.0,0.533,32.0,1,self_employed,own,home_improvement,EU,1
66628.82,642.0,0.429,37.0,3,self_employed,mortgage,debt_consolidation,NA,0
69108.11,719.0,0.269,18.0,3,full_time,mortgage,auto,NA,1
110314.53,718.0,0.389,37.0,2,self_employed,rent,debt_consolidation,APAC,1
98783.2,827.0,0.157,34.0,3,full_time,own,home_improvement,NA,1
49641.62,643.0,0.239,29.0,1,part_time,own,vacation,APAC,1
59827.1,753.0,0.333,30.0,0,part_time,own,vacation,NA,1
38658.04,771.0,0.374,34.0,2,,rent,business,EU,1
54367.27,739.0,0.308,48.0,1,full_time,mortgage,debt_consolidation,NA,1
70680.89,623.0,0.35,49.0,2,part_time,own,auto,APAC,1
86705.37,789.0,0.329,29.0,1,full_time,mortgage,education,EU,1
51876.49,776.0,0.3,33.0,0,part_time,own,auto,NA,1
53225.36,732.0,0.284,33.0,1,full_time,mortgage,auto,LATAM,1
,704.0,0.269,46.0,0,part_time,rent,home_improvement,NA,1
62072.01,706.0,0.348,39.0,0,self_employed,mortgage,education,NA,1
45876.54,684.0,0.369,39.0,2,full_time,own,business,APAC,1
55470.09,735.0,0.344,43.0,0,full_time,own,debt_consolidation,EU,1
49216.51,692.0,0.179,32.0,0,full_time,own,business,EU,1
63303.27,631.0,0.2,52.0,0,full_time,rent,education,LATAM,1
33360.89,617.0,0.368,38.0,0,full_time,rent,vacation,EU,1
38593.19,637.0,0.497,29.0,1,part_time,mortgage,debt_consolidation,NA,0
103326.45,706.0,0.338,36.0,0,full_time,mortgage,debt_consolidation,NA,1
41826.39,688.0,0.271,50.0,2,part_time,mortgage,auto,APAC,1
45257.86,705.0,0.347,34.0,0,full_time,mortgage,home_improvement,NA,1
98064.44,725.0,0.184,47.0,1,full_time,mortgage,auto,EU,1
117291.21,646.0,0.477,32.0,3,full_time,rent,home_improvement,LATAM,1
43911.8,793.0,0.342,30.0,0,unemployed,rent,vacation,APAC,1
58371.52,671.0,0.24,45.0,1,full_time,mortgage,education,NA,1
71148.0,660.0,0.3,29.0,0,full_time,rent,medical,APAC,1
96116.56,724.0,0.257,46.0,1,full_time,own,debt_consolidation,NA,1
47236.57,561.0,0.477,42.0,2,full_time,own,medical,LATAM,1
60585.0,635.0,0.296,29.0,1,part_time,own,education,EU,1
78992.08,759.0,0.339,37.0,1,full_time,own,vacation,EU,1
72825.79,568.0,0.389,33.0,1,full_time,own,business,NA,1
58229.19,768.0,0.231,41.0,0,,rent,education,NA,1
62591.19,796.0,0.343,57.0,1,part_time,mortgage,business,NA,1
40251.88,664.0,0.353,34.0,0,self_employed,mortgage,medical,APAC,1
60712.87,710.0,0.134,43.0,1,part_time,own,vacation,EU,1
60205.03,768.0,0.35,38.0,1,part_time,own,education,APAC,1
69179.06,657.0,0.315,38.0,2,full_time,own,business,NA,1
55004.11,751.0,0.336,36.0,1,full_time,own,home_improvement,NA,1
73487.69,643.0,0.324,29.0,0,,mortgage,home_improvement,EU,1
83228.88,657.0,0.351,41.0,0,full_time,own,debt_consolidation,EU,1
67797.73,634.0,0.48,35.0,0,self_employed,own,business,EU,1
71331.62,714.0,0.178,29.0,0,full_time,rent,vacation,NA,1
65956.8,771.0,0.279,48.0,4,part_time,rent,debt_consolidation,NA,1
65001.52,677.0,0.4,39.0,0,full_time,own,education,EU,1
52011.96,601.0,0.378,36.0,0,self_employed,rent,education,LATAM,1
70696.9,614.0,0.375,51.0,2,full_time,rent,home_improvement,APAC,1
63248.84,718.0,0.65,20.0,0,self_employed,mortgage,education,APAC,1
102677.03,819.0,0.394,51.0,0,full_time,rent,business,EU,1
93320.39,718.0,0.456,29.0,1,full_time,mortgage,business,APAC,1
71945.24,663.0,0.283,40.0,1,,rent,auto,APAC,1
51264.97,744.0,0.201,32.0,0,full_time,own,debt_consolidation,NA,1
44976.59,673.0,0.282,29.0,0,part_time,mortgage,medical,NA,1
86440.57,664.0,0.405,51.0,2,full_time,rent,medical,APAC,1
69729.49,623.0,0.369,57.0,0,self_employed,rent,medical,APAC,1
73642.58,789.0,0.368,36.0,0,self_employed,mortgage,business,APAC,1
33597.45,512.0,0.294,41.0,0,full_time,other,debt_consolidation,NA,0
81693.89,746.0,0.275,39.0,0,self_employed,rent,education,APAC,1
73179.57,658.0,0.298,55.0,0,full_time,rent,home_improvement,NA,1
45012.25,661.0,0.407,18.0,2,part_time,rent,business,NA,1
56512.55,808.0,0.421,42.0,3,part_time,rent,education,EU,1
69746.91,640.0,0.199,31.0,0,part_time,mortgage,debt_consolidation,EU,1
65944.4,642.0,0.411,18.0,0,part_time,rent,business,NA,1
59740.92,681.0,0.242,34.0,1,,own,vacation,EU,1
63137.21,719.0,0.376,56.0,0,full_time,rent,vacation,APAC,1
60464.41,659.0,0.297,31.0,1,self_employed,rent,auto,NA,1
67746.13,580.0,0.508,46.0,2,full_time,rent,business,NA,1
91486.86,629.0,0.27,50.0,1,full_time,own,education,EU,1
18800.15,780.0,0.341,38.0,2,self_employed,mortgage,auto,LATAM,1
60736.7,695.0,0.393,39.0,4,full_time,mortgage,debt_consolidation,APAC,1
68177.22,722.0,0.215,21.0,0,full_time,mortgage,home_improvement,NA,1
70327.89,672.0,0.311,31.0,0,self_employed,rent,home_improvement,EU,1
58305.54,644.0,0.288,47.0,4,full_time,rent,medical,APAC,1
33379.01,807.0,0.258,39.0,0,full_time,rent,debt_consolidation,NA,1
70903.92,677.0,0.267,42.0,0,full_time,mortgage,medical,EU,1
96092.3,659.0,0.453,39.0,1,full_time,other,business,NA,1
37390.49,767.0,0.248,60.0,0,,rent,auto,EU,1
80548.9,639.0,0.388,34.0,2,full_time,rent,business,NA,1
59086.55,648.0,0.358,54.0,2,self_employed,mortgage,auto,NA,1
63896.16,691.0,0.152,39.0,0,,rent,auto,NA,1
46047.83,690.0,0.382,55.0,0,self_employed,mortgage,auto,NA,1
58979.79,708.0,0.15,26.0,0,unemployed,own,auto,NA,1
88400.8,836.0,0.395,40.0,1,full_time,rent,debt_consolidation,NA,1
75487.79,714.0,0.259,34.0,2,unemployed,rent,business,EU,1
96181.61,524.0,0.321,39.0,1,full_time,mortgage,medical,NA,1
86193.41,713.0,0.165,50.0,0,part_time,rent,education,NA,1
72903.56,693.0,0.335,42.0,4,unemployed,rent,vacation,NA,1
96390.82,693.0,0.431,50.0,0,self_employed,mortgage,education,LATAM,1
72901.88,707.0,0.223,31.0,0,full_time,own,auto,NA,1
79903.79,688.0,0.247,30.0,1,full_time,own,auto,EU,1
59661.72,686.0,0.375,38.0,0,full_time,rent,education,NA,1
66197.82,733.0,0.378,38.0,1,unemployed,rent,home_improvement,NA,1
52446.37,652.0,0.028,36.0,1,full_time,mortgage,debt_consolidation,APAC,1
82812.51,624.0,0.562,28.0,0,full_time,own,debt_consolidation,EU,1
,850.0,0.383,50.0,2,full_time,own,debt_consolidation,EU,1
79082.31,640.0,0.404,34.0,0,full_time,own,vacation,NA,1
61568.28,697.0,0.303,52.0,2,full_time,rent,auto,NA,1
86082.45,585.0,0.097,38.0,1,full_time,mortgage,auto,NA,1
78515.64,698.0,0.401,44.0,0,part_time,own,debt_consolidation,NA,1
97771.63,625.0,0.252,44.0,0,full_time,mortgage,business,LATAM,1
78153.94,659.0,0.385,30.0,2,full_time,rent,home_improvement,NA,1
36703.28,763.0,0.294,42.0,1,full_time,mortgage,home_improvement,NA,1
,723.0,0.349,57.0,1,full_time,own,business,NA,1
43903.87,730.0,0.227,41.0,0,part_time,mortgage,medical,NA,1
55670.96,566.0,0.424,47.0,0,full_time,rent,medical,NA,1
92202.11,819.0,0.177,45.0,3,full_time,own,medical,NA,1
76475.61,607.0,0.589,41.0,1,full_time,own,medical,LATAM,1
52419.25,797.0,0.589,40.0,1,full_time,mortgage,education,EU,1
46753.09,762.0,0.516,43.0,1,,mortgage,education,NA,1
65590.08,730.0,0.473,46.0,0,self_employed,rent,business,NA,1
43101.92,630.0,0.31,24.0,1,full_time,rent,debt_consolidation,EU,1
52919.48,701.0,0.46,40.0,0,full_time,own,debt_consolidation,NA,1
70616.17,657.0,0.308,36.0,1,full_time,rent,home_improvement,APAC,1
85795.62,692.0,0.134,34.0,2,part_time,rent,business,EU,1
75957.71,673.0,0.5,51.0,0,full_time,mortgage,auto,NA,1
23756.79,547.0,0.455,31.0,1,unemployed,mortgage,home_improvement,APAC,0
70478.6,769.0,0.316,24.0,0,full_time,rent,home_improvement,NA,1
66296.6,684.0,0.173,46.0,2,unemployed,rent,debt_consolidation,NA,1
72450.03,656.0,0.25,24.0,0,full_time,own,home_improvement,EU,1
94091.77,651.0,0.101,19.0,1,full_time,mortgage,education,NA,1
27861.71,715.0,0.433,47.0,1,full_time,rent,vacation,NA,1
54360.14,627.0,0.128,40.0,0,full_time,mortgage,debt_consolidation,LATAM,1
75636.31,532.0,0.354,43.0,2,unemployed,own,vacation,APAC,1
36531.3,718.0,0.219,34.0,1,full_time,own,debt_consolidation,NA,1
91567.08,726.0,0.149,24.0,0,full_time,rent,business,APAC,1
71630.42,676.0,0.349,26.0,1,unemployed,rent,auto,NA,1
,610.0,0.28,35.0,1,full_time,own,medical,APAC,1
54723.01,696.0,0.421,25.0,1,full_time,own,business,NA,1
79647.75,587.0,0.168,41.0,2,full_time,mortgage,medical,EU,1
84232.49,618.0,0.229,33.0,0,full_time,rent,vacation,EU,1
69191.8,637.0,0.033,40.0,1,self_employed,own,medical,NA,1
69219.22,749.0,0.058,40.0,2,full_time,mortgage,medical,LATAM,1
69866.18,665.0,0.536,42.0,0,part_time,mortgage,medical,NA,1
49459.79,659.0,0.57,43.0,0,full_time,own,debt_consolidation,LATAM,1
62344.48,827.0,0.331,35.0,0,full_time,own,home_improvement,NA,1
62254.59,715.0,0.221,40.0,0,part_time,rent,vacation,NA,1
71901.09,714.0,0.284,40.0,0,part_time,rent,vacation,NA,1
82996.84,664.0,0.425,18.0,1,full_time,mortgage,vacation,NA,1
45946.35,648.0,0.258,44.0,0,full_time,rent,business,EU,1
62749.84,537.0,0.349,39.0,0,full_time,rent,home_improvement,EU,1
91666.2,758.0,0.318,44.0,0,part_time,other,home_improvement,APAC,1
51615.41,721.0,0.252,25.0,1,part_time,other,debt_consolidation,EU,1
50199.5,677.0,0.257,35.0,2,full_time,rent,education,EU,1
68641.51,680.0,0.355,27.0,1,full_time,mortgage,home_improvement,NA,1
80198.93,742.0,0.203,45.0,0,self_employed,own,business,EU,1
65205.67,581.0,0.374,24.0,2,full_time,mortgage,auto,LATAM,1
88921.29,649.0,0.263,29.0,1,part_time,mortgage,vacation,NA,1
80422.29,610.0,0.335,43.0,1,part_time,rent,education,NA,1
80152.76,814.0,0.486,32.0,0,full_time,own,debt_consolidation,NA,1
74974.1,751.0,0.3,29.0,2,full_time,rent,education,NA,1
106897.76,536.0,0.43,47.0,2,full_time,other,education,EU,1
61307.09,584.0,0.105,47.0,1,part_time,own,education,NA,1
28936.6,681.0,0.264,45.0,1,self_employed,rent,debt_consolidation,APAC,1
93876.58,657.0,0.323,46.0,3,full_time,rent,debt_consolidation,NA,1
56761.41,597.0,0.551,36.0,1,full_time,mortgage,debt_consolidation,NA,0
66941.85,826.0,0.085,36.0,0,full_time,rent,home_improvement,NA,1
88571.91,712.0,0.308,32.0,0,part_time,mortgage,home_improvement,NA,1
36159.33,723.0,0.495,40.0,1,full_time,mortgage,debt_consolidation,APAC,1
42470.35,642.0,0.226,33.0,1,self_employed,mortgage,auto,LATAM,0
36177.0,741.0,0.294,34.0,1,full_time,mortgage,debt_consolidation,NA,1
50705.55,663.0,0.36,44.0,1,full_time,mortgage,debt_consolidation,NA,1
